id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count
15804,zh,牯嶺街少年殺人事件,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",3.535,1991-07-27,A Brighter Summer Day,8.3,333
3782,ja,生きる,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",3.569,1952-10-09,Ikiru,8.3,1183
820067,ja,映画 五等分の花嫁,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",3.588,2022-05-20,The Quintessential Quintuplets Movie,8.3,406
644479,es,Dedicada A Mi Ex,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",3.54,2019-11-01,Dedicated to my ex,8.3,503
914,en,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,3.606,1940-10-15,The Great Dictator,8.3,3424
207,en,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",4.944,1989-06-02,Dead Poets Society,8.303,11538
101,fr,Léon,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",4.488,1994-09-14,Léon: The Professional,8.302,15069
599,en,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,3.643,1950-08-10,Sunset Boulevard,8.3,2644
10494,ja,PERFECT BLUE,"Encouraged by her managers, rising pop star Mima takes on a recurring role on a popular TV show, when suddenly her handlers and collaborators begin turning up murdered.",3.826,1998-02-28,Perfect Blue,8.3,2754
652837,ja,ジョゼと虎と魚たち,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",3.588,2020-12-25,"Josee, the Tiger and the Fish",8.299,492
1139087,en,Once Upon a Studio,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",3.572,2023-09-24,Once Upon a Studio,8.3,367
632632,ja,映画 ギヴン,"Haruki secretly had feelings for Akihiko for years, but Akihiko was still in a relationship with his roommate, the violinist Ugetsu Murata. Haruki, Akihiko, and Ugetsu's love clashes and starts to move forward.",3.543,2020-08-22,Given,8.3,395
92321,ja,蛍火の杜へ,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",0.003,2011-09-17,Hotarubi no Mori e,8.3,1130
335,it,C'era una volta il West,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",3.819,1968-12-21,Once Upon a Time in the West,8.3,4457
3082,en,Modern Times,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",3.569,1936-02-05,Modern Times,8.283,3751
823219,lv,Straume,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",7.857,2024-08-29,Flow,8.279,1592
42269,it,C'eravamo tanto amati,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",3.567,1974-12-21,We All Loved Each Other So Much,8.3,577
18491,ja,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity. An alternate ending to the television series ""Neon Genesis Evangelion"", which aired from 1995 to 1996 and whose final two episodes were controversial for their atypically abstract direction.",3.53,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,8.3,1656
77338,fr,Intouchables,A true story of two men who should never have met – a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,4.401,2011-11-02,The Intouchables,8.273,17490
1585,en,It's a Wonderful Life,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",3.574,1946-12-20,It's a Wonderful Life,8.3,4447
28,en,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",4.112,1979-05-19,Apocalypse Now,8.273,8411
901,en,City Lights,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,3.829,1931-02-06,City Lights,8.265,2229
975,en,Paths of Glory,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,3.532,1957-10-25,Paths of Glory,8.261,2987
568332,en,Taylor Swift: Reputation Stadium Tour,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",3.788,2018-12-31,Taylor Swift: Reputation Stadium Tour,8.263,400
637920,tr,7. Koğuştaki Mucize,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",3.791,2019-10-10,Miracle in Cell No. 7,8.257,4440
533514,ja,劇場版 ヴァイオレット・エヴァーガーデン,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",3.542,2020-09-18,Violet Evergarden: The Movie,8.3,428
8587,en,The Lion King,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",3.867,1994-06-15,The Lion King,8.3,18612
10376,it,La leggenda del pianista sull'oceano,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",3.568,1998-10-28,The Legend of 1900,8.3,2285
670,ko,올드보이,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",4.652,2003-11-21,Oldboy,8.3,8897
630566,en,Clouds,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",3.542,2020-10-09,Clouds,8.2,1013
1160164,en,TAYLOR SWIFT | THE ERAS TOUR,"The cultural phenomenon continues on the big screen! Immerse yourself in this once-in-a-lifetime concert film experience with a breathtaking, cinematic view of the history-making tour.",3.579,2023-10-13,TAYLOR SWIFT | THE ERAS TOUR,8.2,437
