Name,Rating,Reviews,Salaries,jobs,Industry&Location
Affinity Express,3.0,545,2.5k,18,Marketing & Advertising | Pune +9 other locations
Blue Yonder,3.9,546,5.9k,89,Software Product | Bangalore / Bengaluru +13 other locations
Blue Yonder,3.9,546,5.9k,89,Software Product | Bangalore / Bengaluru +13 other locations
Ramky Infrastructure,4.2,545,1.9k,5,Engineering & Construction | Hyderabad / Secunderabad +44 other locations
GAMMON INDIA,3.8,545,1.3k,--,Engineering & Construction | Mumbai +67 other locations
Advantmed,3.6,545,2.4k,35,Healthcare | Ahmedabad +9 other locations
Turbo Energy,4.2,543,2.1k,--,Auto Components | Chennai +21 other locations
Jain Irrigation Systems,3.9,544,2.2k,--,Agriculture | Jalgaon +85 other locations
Prince Pipes & Fittings,4.2,544,2.2k,9,Building Material | Mumbai +62 other locations
Patel Engineering,4.1,544,2.2k,--,Engineering & Construction | Mumbai +60 other locations
Holiday Inn,3.9,544,1.5k,--,Hospitality | New Delhi +53 other locations
Licious,3.7,543,2.7k,4,Internet | Bangalore / Bengaluru +35 other locations
Medtronic,4.0,542,3.9k,138,Medical Equipment | Hyderabad / Secunderabad +42 other locations
Infor Global Solution,4.0,542,5.5k,131,Software Product | Hyderabad / Secunderabad +8 other locations
Netmeds.com,3.6,542,2.2k,--,Internet | Chennai +112 other locations
Royal Caribbean International,4.4,541,835,--,Sports & Recreation | Mumbai +20 other locations
Keventer,3.8,541,2.1k,1,FMCG | Kolkata +59 other locations
ZaranTech,1.5,539,106,--,IT Services & Consulting | Bangalore / Bengaluru +17 other locations
Duck Creek Technologies,4.4,539,1.2k,15,Software Product | Mumbai +6 other locations
BSH Home Appliances Group,4.0,540,2.1k,15,Consumer Electronics & Appliances | Bangalore / Bengaluru +46 other locations
Quest Retail Private Limited,4.3,539,885,--,Retail | Gurgaon / Gurugram +60 other locations
Sl Lumax,3.4,539,2.5k,4,Auto Components | Chennai +14 other locations
Waaree Energies,3.9,539,2.7k,23,Power | Surat +43 other locations
Gartner,4.1,538,5.5k,60,Management Consulting | Gurgaon / Gurugram +13 other locations
Forbes Marshall,4.1,537,2.6k,14,Industrial Machinery | Pune +23 other locations
Capco Technologies,3.7,537,3.9k,168,IT Services & Consulting | Bangalore / Bengaluru +17 other locations
Telenor,4.1,536,671,--,Telecom | Hyderabad / Secunderabad +115 other locations
Dhanuka Agritech,3.8,536,1.8k,3,Agro Chemicals | Gurgaon / Gurugram +95 other locations
Bahwan CyberTek,3.7,537,4k,101,IT Services & Consulting | Chennai +19 other locations
Patel Infrastructure,3.9,536,2.1k,4,Engineering & Construction | Vadodara +49 other locations
Razorpay,3.6,536,4.7k,79,FinTech | Bangalore / Bengaluru +24 other locations
Electrotherm,4.2,535,2.9k,2,Iron & Steel | Ahmedabad +34 other locations
Emids Technologies Limited,3.7,536,5.2k,11,IT Services & Consulting | Bangalore / Bengaluru +8 other locations
Grab A Grub Services,3.9,535,1.8k,--,Logistics | Mumbai +106 other locations
Medlife,3.7,534,3k,--,Internet | Bangalore / Bengaluru +28 other locations
Surya Roshni,4.1,534,2.2k,--,Real Estate | New Delhi +63 other locations
GKN,3.8,535,2.4k,47,Industrial Automation | Pune +28 other locations
PPG Asian Paints,3.9,535,2.7k,--,Chemicals | Mumbai +53 other locations
CTS Consulting & Technical Support,3.7,534,7.7k,--,Engineering & Construction | Chennai +30 other locations
Sintex Industries,4.0,533,2.2k,3,Industrial Machinery | Ahmedabad +54 other locations
Nomura Holdings,3.8,533,6k,195,Investment Banking / Venture Capital / Private Equity | Mumbai +10 other locations
AVEVA,4.2,532,1.8k,28,Software Product | Hyderabad / Secunderabad +12 other locations
TVS Electronics,3.9,533,2.1k,30,Consumer Electronics & Appliances | Chennai +63 other locations
CSM Technologies,4.3,532,1.9k,15,IT Services & Consulting | Bhubaneswar +20 other locations
Mindarika,3.8,532,2.1k,--,Auto Components | Gurgaon / Gurugram +24 other locations
Data Entry,4.1,531,1.8k,1,BPO | New Delhi +94 other locations
Alivus Life Sciences,3.7,531,3.7k,3,Pharma | Ankleshwar +19 other locations
Nephroplus,3.9,531,5.2k,3,Healthcare | Hyderabad / Secunderabad +100 other locations
Saint Gobain Glass,4.0,533,1.7k,--,Building Material | Chennai +53 other locations
Rashmi Group,3.7,530,2.6k,5,Iron & Steel | Kharagpur +20 other locations
Coal India,4.0,530,1.9k,--,Metals & Mining | Kolkata +58 other locations
Emami Agrotech,3.8,531,2.4k,--,Food Processing | Kolkata +59 other locations
Delta Electronics,4.0,530,3.3k,4,Electronics Manufacturing | Bangalore / Bengaluru +38 other locations
Triveni Engineering & Industries,4.1,529,2.3k,4,Food Processing | Noida +51 other locations
Shivam Autotech,3.6,529,2.4k,--,Auto Components | Gurgaon / Gurugram +20 other locations
Collegedunia,3.0,530,3.2k,38,Internet | Gurgaon / Gurugram +22 other locations
Bridgestone,4.1,531,2.4k,--,Auto Components | Pune +53 other locations
Rane NSK Steering Systems,4.2,528,2k,--,Auto Components | Chennai +21 other locations
Asb International,4.0,528,2.6k,2,Industrial Machinery | Mumbai +17 other locations
Vizag Steel,4.1,527,1.6k,--,Iron & Steel | Visakhapatnam +22 other locations
ThoughtWorks,3.9,526,4.8k,--,IT Services & Consulting | Bangalore / Bengaluru +11 other locations
ManipalCigna Health Insurance,4.0,527,2.6k,4,Insurance | Mumbai +106 other locations
PrimEra Medical Technologies,3.5,525,3.1k,35,IT Services & Consulting | Hyderabad / Secunderabad +11 other locations
Ramboll,4.1,526,2.8k,6,Engineering & Construction | Gurgaon / Gurugram +29 other locations
3M,4.2,525,3.1k,48,Electronics Manufacturing | Bangalore / Bengaluru +46 other locations
Saudi Aramco,4.4,524,1.6k,--,Oil & Gas | Mumbai +30 other locations
Centaur Pharmaceuticals,3.6,525,2.6k,2,Pharma | Pune +55 other locations
Dhani Healthcare,3.6,524,2.3k,--,FinTech | Gurgaon / Gurugram +79 other locations
Five-Star Business Finance,4.3,524,1.7k,1,NBFC | Chennai +188 other locations
United Spirits,4.0,523,1.8k,1,Beverage | Bangalore / Bengaluru +96 other locations
ITC Limited Foods Division,4.0,523,1.9k,--,Food Processing | Bangalore / Bengaluru +69 other locations
Motilal Oswal Home Finance,4.1,523,1k,1,Financial Services | Mumbai +107 other locations
Livguard,4.0,523,2k,--,Electronics Manufacturing | Gurgaon / Gurugram +75 other locations
Bharti Infratel,4.5,522,1.5k,--,Telecom | Gurgaon / Gurugram +66 other locations
NetConnectGlobal,3.3,524,2.5k,63,IT Services & Consulting | Bangalore / Bengaluru +43 other locations
DeHaat,3.6,522,1.6k,9,Internet | Gurgaon / Gurugram +100 other locations
VRL Logistics,3.7,522,1.5k,--,Logistics | Bangalore / Bengaluru +99 other locations
AVTEC,3.7,521,2.1k,2,Auto Components | Hosur +22 other locations
Apollo Health and Lifestyle Limited,4.4,522,2.3k,23,Healthcare | Hyderabad / Secunderabad +63 other locations
Trigent Software,3.5,522,3.7k,200,IT Services & Consulting | Bangalore / Bengaluru +28 other locations
Yokogawa,3.7,522,3.5k,27,Auto Components | Bangalore / Bengaluru +21 other locations
Dodla Dairy,4.2,522,1.7k,10,Food Processing | Hyderabad / Secunderabad +61 other locations
SG Analytics,3.0,520,2.9k,15,Analytics & KPO | Pune +9 other locations
Suma Soft,3.6,522,3k,7,IT Services & Consulting | Pune +11 other locations
TCI Express,3.9,521,1.8k,--,Logistics | Gurgaon / Gurugram +71 other locations
PTC,4.2,521,3.8k,33,Software Product | Pune +45 other locations
Talentpro,3.9,520,2.3k,5,Recruitment | Chennai +108 other locations
Livpure,4.0,519,1.8k,3,Consumer Electronics & Appliances | Gurgaon / Gurugram +76 other locations
Jubilant Generics,4.0,519,2.6k,--,Pharma | Roorkee +21 other locations
Autoliv,3.8,520,2.5k,1,Auto Components | Bangalore / Bengaluru +18 other locations
Suraksha Diagnostic,3.9,520,1.5k,6,Kolkata +30 other locations
CtrlS,3.5,518,2.8k,3,IT Services & Consulting | Hyderabad / Secunderabad +16 other locations
North East Small Finance Bank,3.7,519,1.7k,5,Banking | Guwahati +78 other locations
Khazana Jewellery,3.9,518,1.5k,11,Jewellery | Chennai +52 other locations
Quality Austria Central Asia,3.5,516,1.8k,9,Other | New Delhi +55 other locations
Avalon Technologies,3.7,516,3.2k,19,Electronics Manufacturing | Chennai +15 other locations
Indorama,4.0,518,2.1k,3,Fashion & Textile | Kolkata +42 other locations
Pennar Industries,3.5,515,3k,8,Engineering & Construction | Hyderabad / Secunderabad +26 other locations
Sintex-bapl,3.7,515,2.4k,1,Petrochemicals | Chennai +58 other locations
Renovision Automation Services,3.5,515,1.9k,--,IT Services & Consulting | New Delhi +67 other locations
Nucleus Software Exports,3.5,515,4.3k,1,Software Product | Noida +12 other locations
Dr. Batras' Positive Health Clinic,3.8,516,1.1k,4,Healthcare | Mumbai +86 other locations
Okaya Power,3.7,515,2.2k,5,Electrical Equipment | New Delhi +81 other locations
Y-Axis Overseas Careers,3.2,514,1.4k,12,Legal | Hyderabad / Secunderabad +16 other locations
Continental,3.9,514,3.4k,85,Auto Components | Bangalore / Bengaluru +45 other locations
Ongc Petro Additions,4.0,514,3.6k,--,Petrochemicals | Bharuch +28 other locations
Orient Technologies,3.7,515,2.8k,25,IT Services & Consulting | Mumbai +44 other locations
Wolters Kluwer,3.9,514,4.1k,7,Software Product | Pune +14 other locations
ACTE,4.6,513,89,--,Education & Training | Chennai +10 other locations
Gayatri Projects,3.9,512,2.2k,--,Engineering & Construction | Hyderabad / Secunderabad +67 other locations
Airports Authority of India,4.3,511,1.8k,--,Aviation | New Delhi +84 other locations
Amway India Enterprises,4.0,511,2.2k,1,Fitness & Wellness | Gurgaon / Gurugram +76 other locations
Kaizen IT Services,4.3,511,1.2k,--,IT Services & Consulting | Kolkata +70 other locations
Geojit Financial Services,3.7,511,1.9k,6,Financial Services | Kochi +128 other locations
Medcode,4.5,510,61,2,IT Services & Consulting | Chennai +7 other locations
Intellipaat Software Solutions,3.1,511,1.7k,--,Bangalore / Bengaluru +16 other locations
Philips Innovation Campus,3.8,512,4.2k,--,Healthcare | Bangalore / Bengaluru +17 other locations
Writer Information Management Services,3.2,511,2.4k,2,BPO | Mumbai +48 other locations
Welspun Corp,4.0,511,2k,--,Iron & Steel | Anjar +25 other locations
SMC Global Securities,3.5,511,2.4k,14,New Delhi +75 other locations
My Home Industries,4.1,510,2.3k,6,Building Material | Hyderabad / Secunderabad +62 other locations
Corteva Agriscience,4.3,508,2.4k,14,Agro Chemicals | Hyderabad / Secunderabad +93 other locations
Lohia Group,3.7,509,2.4k,2,Industrial Machinery | Kanpur +18 other locations
NICE,3.6,509,3.6k,36,Software Product | Pune +15 other locations
BMC Software,4.1,507,3.8k,7,IT Services & Consulting | Pune +10 other locations
Royaloak Incorporation,3.8,508,1.4k,26,Furniture & Furnishing | Bangalore / Bengaluru +40 other locations
B. G. Shirke Construction Technology,4.2,507,2.7k,11,Engineering & Construction | Pune +23 other locations
URC Construction,3.6,507,2.2k,1,Engineering & Construction | Chennai +41 other locations
Pyramid IT Consulting,3.0,507,2.8k,1,Recruitment | Noida +22 other locations
Central Reserve Police Force,4.6,507,1.1k,--,Government | New Delhi +85 other locations
RealPage,3.7,507,3.7k,2,IT Services & Consulting | Hyderabad / Secunderabad +9 other locations
HBL Power Systems,4.0,506,2.2k,10,Electrical Equipment | Hyderabad / Secunderabad +46 other locations
Practo,3.1,506,3.1k,22,Internet | Bangalore / Bengaluru +23 other locations
Varthana,4.1,506,1.3k,4,NBFC | Bangalore / Bengaluru +75 other locations
Koch Business Solutions,3.4,506,4.3k,4,IT Services & Consulting | Bangalore / Bengaluru +8 other locations
ACKO,3.7,506,2.2k,38,FinTech | Bangalore / Bengaluru +10 other locations
Finastra,3.8,506,4.5k,2,Software Product | Bangalore / Bengaluru +10 other locations
Toothsi,2.8,506,2.1k,6,Internet | Mumbai +17 other locations
Nibav Lifts,3.8,505,1.2k,68,Industrial Machinery | Chennai +33 other locations
B.L. Kashyap & Sons,3.7,505,1.6k,19,Engineering & Construction | Bangalore / Bengaluru +23 other locations
Kellogg,4.3,505,2.2k,--,FMCG | Mumbai +74 other locations
Genesys International Corporation,3.7,504,2.6k,2,IT Services & Consulting | Mumbai +14 other locations
Cotiviti,3.8,506,3.7k,46,Analytics & KPO | Hyderabad / Secunderabad +9 other locations
Hilton,4.3,504,1.6k,194,Hospitality | Bangalore / Bengaluru +36 other locations
AI Airport Services,3.6,504,1.3k,--,Mumbai +54 other locations
Quikr,3.7,502,2.9k,15,Internet | Bangalore / Bengaluru +24 other locations
DealShare,3.4,503,2.4k,10,Internet | Bangalore / Bengaluru +43 other locations
Sasken,3.8,502,3.6k,57,Automobile | Bangalore / Bengaluru +11 other locations
SoftAge Information Technology,3.2,502,946,6,IT Services & Consulting | Gurgaon / Gurugram +131 other locations
OMICS International,2.5,502,2.2k,--,Printing & Publishing | Hyderabad / Secunderabad +6 other locations
GlobalData,3.4,502,3.5k,9,Analytics & KPO | Hyderabad / Secunderabad +13 other locations
HDFC Asset Management Company,4.0,501,2.2k,--,Mumbai +128 other locations
Rane Engine Valve Limited,3.9,499,2k,--,Auto Components | Chennai +15 other locations
Becton Dickinson,4.0,501,3.1k,17,Medical Equipment | Bangalore / Bengaluru +32 other locations
Courtyard by Marriott,4.3,500,1.2k,--,Hospitality | Mumbai +38 other locations
General Motors,4.3,500,2.4k,5,Automobile | Pune +36 other locations
Impetus Technologies,3.6,500,4.9k,42,IT Services & Consulting | Indore +14 other locations
Central Bank of India,3.9,500,1.3k,--,Banking | Mumbai +145 other locations
EdgeVerve Systems,3.3,501,4.1k,37,Software Product | Bangalore / Bengaluru +14 other locations
PCBL Chemical Limited,3.9,501,2.4k,5,Petrochemicals | Vadodara +21 other locations
Agrostar,3.8,499,1.5k,3,Internet | Pune +42 other locations
Zudio,3.9,499,1.4k,--,Retail | Bangalore / Bengaluru +108 other locations
Wissen Infotech,3.7,500,3.8k,52,IT Services & Consulting | Bangalore / Bengaluru +13 other locations
Genus Power Infrastructures,4.0,499,2.6k,--,Consumer Electronics & Appliances | Jaipur +58 other locations
Capital Numbers Infotech,4.5,498,1.1k,12,IT Services & Consulting | Kolkata +9 other locations
Family Health Plan,3.8,499,2k,4,Insurance | Hyderabad / Secunderabad +32 other locations
Godrej Industries,4.1,498,2.7k,154,Chemicals | Mumbai +62 other locations
InternEzy,4.9,497,6,--,EdTech | Erode +5 other locations
Ukb Electronics,3.7,497,2.2k,4,Electronics Manufacturing | Noida +19 other locations
ExportersIndia,4.9,498,132,30,Internet | New Delhi +1 other locations
Kissht Finance,3.9,497,1.9k,8,FinTech | Mumbai +63 other locations
Varun Motors,3.8,497,2k,3,Automobile | Hyderabad / Secunderabad +35 other locations
Ramkrishna Forgings,3.6,498,2.4k,3,Auto Components | Jamshedpur +19 other locations
TSYS|Total System Services,4.1,497,3.5k,--,Financial Services | Pune +9 other locations
Unimoni,3.9,496,2.8k,1,FinTech | Chennai +130 other locations
BEML,4.0,496,1.7k,--,Industrial Machinery | Bangalore / Bengaluru +31 other locations
Hetero Healthcare,3.6,496,2.2k,4,Pharma | Hyderabad / Secunderabad +62 other locations
Manjushree Technopack,3.7,496,2.6k,1,Packaging | Bangalore / Bengaluru +27 other locations
Shriram Automall,3.8,495,1.3k,11,Automobile | New Delhi +101 other locations
Trianz,3.4,496,4.3k,42,IT Services & Consulting | Hyderabad / Secunderabad +6 other locations
FCC Clutch,4.0,494,2.2k,--,Auto Components | Gurgaon / Gurugram +23 other locations
Vikram Solar,3.9,495,2.2k,2,Power | Kolkata +36 other locations
Dineshchandra R. Agrawal Infracon,4.2,495,2k,6,Engineering & Construction | Ahmedabad +63 other locations
FCC Clutch,4.0,494,2.2k,--,Auto Components | Gurgaon / Gurugram +23 other locations
Maxgen Technologies,4.5,495,1.2k,--,IT Services & Consulting | Pune +7 other locations
Perficient,3.6,494,3.6k,26,IT Services & Consulting | Chennai +11 other locations
Vastu Housing Finance,4.2,493,1.8k,8,Financial Services | Mumbai +132 other locations
mPokket,3.8,493,1.1k,10,NBFC | Kolkata +13 other locations
Tecnimont,3.8,492,2.6k,--,Engineering & Construction | Mumbai +28 other locations
Jyothy Laboratories,4.2,492,1.7k,6,FMCG | Mumbai +119 other locations
WayCool Foods and Products,3.5,492,2.8k,--,FMCG | Chennai +41 other locations
Tredence,3.6,492,3.9k,83,IT Services & Consulting | Bangalore / Bengaluru +8 other locations
GAVS Technologies,3.6,492,4.6k,82,IT Services & Consulting | Chennai +12 other locations
Fiem Industries,3.6,491,2.6k,--,Auto Components | Hosur +24 other locations
Protiviti,3.2,492,3.7k,63,Management Consulting | Gurgaon / Gurugram +23 other locations
Cyfuture,3.0,491,2.6k,61,IT Services & Consulting | Noida +32 other locations
CSC,3.5,494,3.5k,53,Financial Services | Bangalore / Bengaluru +11 other locations
CJ Darcl Logistics Limited,4.0,490,1.6k,10,Logistics | Gurgaon / Gurugram +64 other locations
Ge India Industrial,4.3,490,2.3k,--,Industrial Machinery | Pune +21 other locations
Future Lifestyle Fashion,4.2,489,2k,--,Retail | Bangalore / Bengaluru +62 other locations
Gestamp,3.7,489,2.2k,--,Auto Components | Pune +7 other locations
Medley Pharmaceuticals,4.0,489,1.7k,13,Pharma | Mumbai +69 other locations
ReSource Pro,4.0,488,2.2k,34,BPO | Bangalore / Bengaluru +8 other locations
Carrier,3.7,487,3.6k,13,Consumer Electronics & Appliances | Hyderabad / Secunderabad +45 other locations
House Of Anita Dongre,4.1,487,1.5k,2,Fashion & Textile | Mumbai +43 other locations
Ferrero,3.7,487,1.9k,19,Food Processing | Pune +83 other locations
Danfoss Industries,3.9,486,2.9k,20,Industrial Machinery | Chennai +20 other locations
Renault,4.2,486,2k,61,Automobile | Chennai +141 other locations
IDBI Intech Limited,3.5,486,2.7k,1,IT Services & Consulting | Mumbai +27 other locations
Axiscades,3.1,486,3.4k,3,IT Services & Consulting | Bangalore / Bengaluru +9 other locations
Inspirisys Solution,3.8,486,3.6k,5,IT Services & Consulting | Chennai +45 other locations
Vestige,4.3,485,1.5k,--,Fitness & Wellness | New Delhi +105 other locations
Super Smelters,3.9,485,1.9k,3,Metals & Mining | Asansol +22 other locations
Vadilal Industries,4.1,485,1.7k,14,FMCG | Ahmedabad +75 other locations
Transrail Lighting,3.9,485,2.1k,1,Engineering & Construction | Mumbai +73 other locations
Excitel Broadband,3.6,485,1.9k,6,Telecom | New Delhi +44 other locations
Inspira Enterprise India Limited,3.6,484,3.1k,79,IT Services & Consulting | Mumbai +31 other locations
Foray Software,3.5,484,3.8k,--,IT Services & Consulting | Hyderabad / Secunderabad +15 other locations
United Colors of Benetton,4.3,483,1.3k,4,Fashion & Textile | Gurgaon / Gurugram +66 other locations
Inox Wind,3.7,484,1.9k,1,Power | Noida +39 other locations
Utility Powertech,3.8,483,1.8k,--,Power | New Delhi +89 other locations
Gandhi Automations,4.1,484,1.2k,8,Industrial Machinery | Mumbai +20 other locations
Einfochips,3.3,483,3.4k,56,IT Services & Consulting | Ahmedabad +12 other locations
CARE,4.3,483,1.3k,--,Non-Profit | Patna +111 other locations
Elite Elevators,3.9,483,824,4,Chennai +32 other locations
Leverage Edu,4.1,483,1.5k,4,EdTech | Noida +17 other locations
Vakrangee,3.7,482,1.4k,--,BPO | Mumbai +85 other locations
Centum Learning,3.8,482,1.5k,6,Education & Training | New Delhi +77 other locations
Cvent,3.5,482,4.1k,71,Software Product | Gurgaon / Gurugram +5 other locations
Colt Technology Services,4.4,482,3.1k,10,Hardware & Networking | Gurgaon / Gurugram +13 other locations
BT E Serv,4.2,482,2.6k,--,Telecom | Kolkata +6 other locations
DHL Global Forwarding,4.1,481,2.8k,--,Logistics | Chennai +20 other locations
Tracxn,3.2,481,2.4k,50,Internet | Bangalore / Bengaluru +9 other locations
CDK Global,3.7,481,3.5k,15,IT Services & Consulting | Hyderabad / Secunderabad +6 other locations
Vasudha Pharma Chem,3.9,481,2.2k,2,Pharma | Visakhapatnam +8 other locations
Trimax IT Infrastructure Services,3.3,480,1.5k,--,IT Services & Consulting | Mumbai +71 other locations
Lear Corporation,4.0,480,2.9k,4,Auto Components | Pune +18 other locations
Petpooja,4.1,480,1.2k,49,Software Product | Ahmedabad +49 other locations
Karvy Data Management Services,3.8,479,2.5k,--,Analytics & KPO | Hyderabad / Secunderabad +77 other locations
HLL Lifecare,3.8,479,1.8k,12,Healthcare | Thiruvananthapuram +101 other locations
Cuemath,3.8,479,1.9k,1,EdTech | Bangalore / Bengaluru +20 other locations
BDO,3.3,479,3.9k,7,Mumbai +29 other locations
Motherson Sumi Wiring,3.8,480,2.3k,--,Electrical Equipment | Noida +31 other locations
Ziqitza Health Care,3.9,479,1.3k,1,Healthcare | Bhopal +56 other locations
Blackberrys,4.1,478,1.9k,11,Fashion & Textile | Gurgaon / Gurugram +82 other locations
JK Tech,3.6,478,3.7k,3,IT Services & Consulting | Bangalore / Bengaluru +18 other locations
Army Public School,4.1,478,1.2k,--,Education & Training | New Delhi +84 other locations
Accion Labs,3.4,478,4.6k,45,IT Services & Consulting | Bangalore / Bengaluru +14 other locations
Baker Hughes,4.0,477,3.8k,45,Oil & Gas | Bangalore / Bengaluru +36 other locations
Ofbusiness,3.1,477,2.3k,29,Internet | Gurgaon / Gurugram +36 other locations
L & W Constructions,3.7,477,2k,6,Engineering & Construction | Bangalore / Bengaluru +16 other locations
Levi Strauss & Co.,4.3,477,1.9k,13,Fashion & Textile | Bangalore / Bengaluru +74 other locations
Surin Automotive,3.8,477,1.9k,--,Auto Components | Bangalore / Bengaluru +21 other locations
Maxicus,4.3,477,552,--,BPO | Vadodara +12 other locations
Magic Edtech,3.1,477,3.3k,3,IT Services & Consulting | Noida +6 other locations
Sapphire Foods India,3.8,476,1.7k,13,Retail | Mumbai +56 other locations
Saud Bahwan Group,3.4,476,1.2k,--,Automobile | Muscat +21 other locations
Sudarshan Chemical Industries,3.8,476,2.5k,1,Chemicals | Roha +23 other locations
CSG International,3.9,475,3.8k,--,Software Product | Bangalore / Bengaluru +12 other locations
CompuCom,3.8,475,3.1k,13,IT Services & Consulting | Pune +5 other locations
Efs Facilities Services,3.8,476,1.3k,9,Facility Management Services | New Delhi +53 other locations
Kajaria Ceramics,4.1,474,1.9k,1,Building Material | New Delhi +71 other locations
Reliance Jewels,3.9,474,1.3k,--,Mumbai +116 other locations
Dishman Carbogen Amcis,3.7,474,2k,63,Ahmedabad +10 other locations
Infiniti Research,3.9,473,1.8k,24,Bangalore / Bengaluru +7 other locations
Maharashtra State Electricity Distribution Company,4.3,473,1.2k,--,Power | Pune +80 other locations
South Indian Bank,3.4,474,2.6k,--,Banking | Kochi +74 other locations
TVS Eurogrip,3.6,473,1.9k,4,Auto Components | Madurai +62 other locations
Stellantis,3.4,473,3.6k,--,Automobile | Chennai +12 other locations
Mavenir Systems,3.5,471,3.4k,1,IT Services & Consulting | Bangalore / Bengaluru +17 other locations
Innominds Software,3.3,471,4.6k,23,IT Services & Consulting | Hyderabad / Secunderabad +6 other locations
Radico Khaitan,3.8,471,1.9k,4,Beverage | Rampur +60 other locations
Vindhya Telelinks,4.0,471,1.8k,--,Hardware & Networking | New Delhi +67 other locations
Maini Precision Products,3.4,471,3k,11,Auto Components | Bangalore / Bengaluru +9 other locations
Ebixcash Global Services,3.4,473,1.9k,--,BPO | Mumbai +35 other locations
The Times of India,3.8,470,3k,3,Media & Entertainment | New Delhi +49 other locations
Go First,3.7,470,2.2k,--,Aviation | Mumbai +32 other locations
ATS Infrastructure,4.0,470,2.1k,--,Real Estate | Noida +13 other locations
Cpf India,4.0,470,1.7k,2,Food Processing | Bangalore / Bengaluru +55 other locations
Gainwell Commosales,4.2,469,2.1k,1,Kolkata +69 other locations
BharatMatrimony.com,3.9,469,1.6k,4,Internet | Chennai +30 other locations
Hi Tech Gears,3.7,468,2.2k,--,Auto Components | Gurgaon / Gurugram +26 other locations
IKEA,4.1,468,2.1k,1,Retail | Bangalore / Bengaluru +21 other locations
Home First Finance Company India,3.7,470,2.1k,--,Financial Services | Mumbai +86 other locations
Suroj Buildcon,4.2,468,1.5k,5,Engineering & Construction | Pune +41 other locations
ANAROCK Property Consultants,3.7,467,2.6k,51,Real Estate | Mumbai +27 other locations
Vivanta by Taj,4.0,466,1.1k,--,Hospitality | New Delhi +40 other locations
Sadbhav Engineering,4.4,466,1.7k,--,Engineering & Construction | Ahmedabad +66 other locations
Metriqe Solutions,4.2,466,1.1k,4,BPO | Chennai +4 other locations
Crystal Crop Protection,3.9,466,1.7k,--,Agro Chemicals | New Delhi +76 other locations
Jubilant Ingrevia,3.8,466,2.4k,--,Chemicals | Bharuch +21 other locations
Ascent HR Technologies Private Limited,3.7,465,1.8k,1,Software Product | Bangalore / Bengaluru +13 other locations
Kidzee,4.0,465,1.3k,--,EdTech | Kolkata +108 other locations
Scaler Academy,3.7,465,2k,9,EdTech | Bangalore / Bengaluru +6 other locations
Jindal Poly Films,3.6,465,2.4k,--,Packaging | Nashik +13 other locations
Padget Electronics,4.0,465,3k,--,Industrial Machinery | Noida +8 other locations
Sapiens,3.4,465,4.3k,20,Software Product | Bangalore / Bengaluru +8 other locations
Samunnati Financial Intermediation and Services,4.3,464,860,--,Financial Services | Chennai +51 other locations
Global Healthcare Billing Partners,3.5,465,3.1k,67,BPO | Chennai +12 other locations
NLC India Limited,4.4,463,1.1k,--,Metals & Mining | Neyveli +19 other locations
Annalect,3.4,463,3.3k,52,Bangalore / Bengaluru +12 other locations
Heidelberg Cement,4.2,464,1.8k,--,Building Material | Damoh +68 other locations
Vedang Cellular Services,3.8,463,1.6k,2,Telecom | Mumbai +59 other locations
R.S. Infraprojects,3.9,462,1.6k,--,Real Estate | Noida +72 other locations
Herbalife International,3.9,462,2.6k,3,Healthcare | Bangalore / Bengaluru +81 other locations
Electrosteel Casting,3.7,462,2.2k,1,Building Material | Kolkata +22 other locations
Schwing Stetter,4.1,462,2.2k,78,Industrial Machinery | Chennai +42 other locations
Ivrcl Infrastructures & Projects,4.2,461,975,--,Engineering & Construction | Hyderabad / Secunderabad +52 other locations
iNurture Education Solutions,2.5,461,1.5k,4,EdTech | Bangalore / Bengaluru +40 other locations
J K Fenner,3.9,461,1.9k,--,Engineering & Construction | Chennai +49 other locations
Mahindra Integrated Business Solutions,3.6,461,2.3k,--,BPO | Mumbai +61 other locations
PureSoftware,3.1,461,3.3k,81,IT Services & Consulting | Noida +10 other locations
Magic Bus India Foundation,3.9,462,1.5k,28,Non-Profit | Mumbai +59 other locations
VDA Infosolutions,3.8,460,1.8k,--,IT Services & Consulting | Pune +31 other locations
Solara Active Pharma Sciences,3.8,460,2.9k,--,Pharma | Visakhapatnam +18 other locations
Eicher Motors,4.1,461,1.6k,--,Automobile | Indore +81 other locations
Prochant,4.1,459,1.8k,49,Analytics & KPO | Chennai +7 other locations
Transport Corporation Of India,3.9,458,1.8k,1,Logistics | Gurgaon / Gurugram +72 other locations
Cashify,3.8,458,2.2k,--,Other | Gurgaon / Gurugram +52 other locations
Wood Group,3.8,458,2.5k,55,Engineering & Construction | Chennai +30 other locations
Amar Ujala,3.9,458,1.9k,4,Printing & Publishing | Noida +48 other locations
Blackrock,3.8,461,4.6k,--,Investment Banking / Venture Capital / Private Equity | Gurgaon / Gurugram +16 other locations
Aster Dm Healthcare,3.8,459,2.5k,329,Healthcare | Bangalore / Bengaluru +37 other locations
Kirloskar Pneumatic,4.0,458,2.5k,2,Industrial Machinery | Pune +15 other locations
Celebi Aviation Holding,3.8,457,899,4,Aviation | Mumbai +14 other locations
Stock Holding Corporation of India,3.6,457,1.9k,--,Financial Services | Mumbai +96 other locations
Bajaj Capital Insurance,3.6,457,1.2k,--,Insurance | New Delhi +109 other locations
