Name,Rating,Reviews,Salaries,jobs,Industry&Location
Lupin,4.1,6.1k,22.4k,129,Pharma | Pune +184 other locations
Hexaware Technologies,3.5,6.1k,48.4k,153,IT Services & Consulting | Chennai +58 other locations
L&T Construction,4.0,6.1k,18.5k,--,Engineering & Construction | Chennai +382 other locations
Zydus Lifesciences,4.1,6.1k,18.9k,29,Pharma | Ahmedabad +161 other locations
Equitas Small Finance Bank,4.5,6k,12.3k,895,Banking | Chennai +424 other locations
JSW Steel,3.9,6k,27.1k,104,Iron & Steel | Ballari +165 other locations
Sun Pharmaceutical Industries,4.0,5.9k,21.7k,191,Pharma | Vadodara +229 other locations
ITC,3.9,5.7k,22.7k,67,FMCG | Bangalore / Bengaluru +342 other locations
KPMG India,3.5,5.6k,53.4k,1.1k,Management Consulting | Bangalore / Bengaluru +98 other locations
FIS,3.9,5.6k,37.7k,11,IT Services & Consulting | Pune +53 other locations
HCL Group,3.6,5.6k,49.4k,2,IT Services & Consulting | Chennai +87 other locations
Axis Max Life Insurance,4.1,5.5k,17.9k,245,Insurance | New Delhi +441 other locations
Ujjivan Small Finance Bank,4.1,5.4k,12.5k,36,Banking | Bangalore / Bengaluru +487 other locations
Ekart Logistics,3.9,5.4k,14k,--,Bangalore / Bengaluru +675 other locations
Tata Projects,4.2,5.4k,20.4k,19,Engineering & Construction | Mumbai +257 other locations
Oracle,3.7,5.3k,56.6k,1.4k,Software Product | Bangalore / Bengaluru +51 other locations
Indian Army,4.7,5.3k,9.6k,--,Defence & Aerospace | New Delhi +342 other locations
IIFL Finance,4.0,5.3k,14.6k,66,NBFC | Mumbai +737 other locations
Megha Engineering & Infrastructures,3.9,5.2k,16.8k,23,Engineering & Construction | Hyderabad / Secunderabad +345 other locations
Muthoot Finance,3.6,5.1k,12.4k,136,NBFC | Bangalore / Bengaluru +703 other locations
eClerx,3.3,5.1k,29.2k,64,IT Services & Consulting | Pune +26 other locations
Udaan,4.0,5.1k,17.1k,7,Internet | Bangalore / Bengaluru +346 other locations
